RT,First name,Last name,Party,Constituency,Uri,Rebel
25845,Nadia,Whittome,Labour,Nottingham East,http://data.parliament.uk/members/4869,12
11318,Bill,Wiggin,Conservative,North Herefordshire,http://data.parliament.uk/members/1428,23
25866,James,Wild,Conservative,North West Norfolk,http://data.parliament.uk/members/4787,24
25329,Craig,Williams,Conservative,Montgomeryshire,http://data.parliament.uk/members/4438,19
24729,Gavin,Williamson,Conservative,South Staffordshire,http://data.parliament.uk/members/4108,21
25820,Munira,Wilson,Liberal Democrat,Twickenham,http://data.parliament.uk/members/4776,3
11374,Sammy,Wilson,DUP,East Antrim,http://data.parliament.uk/members/1593,4
25826,Beth,Winter,Labour,Cynon Valley,http://data.parliament.uk/members/4809,11
10648,Rosie,Winterton,Labour,Doncaster Central,http://data.parliament.uk/members/390,0
11333,Pete,Wishart,Scottish National Party,Perth and North Perthshire,http://data.parliament.uk/members/1440,0
25362,Mike,Wood,Conservative,Dudley South,http://data.parliament.uk/members/4384,22
25360,William,Wragg,Conservative,Hazel Grove,http://data.parliament.uk/members/4429,26
11791,Jeremy,Wright,Conservative,Kenilworth and Southam,http://data.parliament.uk/members/1560,22
25649,Mohammad,Yasin,Labour,Bedford,http://data.parliament.uk/members/4598,13
25806,Jacob,Young,Conservative,Redcar,http://data.parliament.uk/members/4825,23
24822,Nadhim,Zahawi,Conservative,Stratford-on-Avon,http://data.parliament.uk/members/4113,21
25386,Daniel,Zeichner,Labour,Cambridge,http://data.parliament.uk/members/4382,13
