RT,First name,Last name,Party,Constituency,Uri,Rebel
24912,Anne Marie,Morris,Conservative,Newton Abbot,http://data.parliament.uk/members/4249,21
24966,David,Morris,Conservative,Morecambe and Lunesdale,http://data.parliament.uk/members/4135,15
24715,Grahame,Morris,Labour,Easington,http://data.parliament.uk/members/3973,15
24855,James,Morris,Conservative,Halesowen and Rowley Regis,http://data.parliament.uk/members/3992,16
25878,Joy,Morrissey,Conservative,Beaconsfield,http://data.parliament.uk/members/4759,22
25342,Wendy,Morton,Conservative,Aldridge-Brownhills,http://data.parliament.uk/members/4358,19
25883,Kieran,Mullan,Conservative,Crewe and Nantwich,http://data.parliament.uk/members/4860,21
25804,Holly,Mumby-Croft,Conservative,Scunthorpe,http://data.parliament.uk/members/4867,24
11970,David,Mundell,Conservative,"Dumfriesshire, Clydesdale and Tweeddale",http://data.parliament.uk/members/1512,19
24872,Ian,Murray,Labour,Edinburgh South,http://data.parliament.uk/members/3966,6
25801,James,Murray,Labour,Ealing North,http://data.parliament.uk/members/4797,14
24875,Sheryll,Murray,Conservative,South East Cornwall,http://data.parliament.uk/members/4100,24
11132,Andrew,Murrison,Conservative,South West Wiltshire,http://data.parliament.uk/members/1466,18
24831,Lisa,Nandy,Labour,Wigan,http://data.parliament.uk/members/4082,1
13736,Bob,Neill,Conservative,Bromley and Chislehurst,http://data.parliament.uk/members/1601,18
25291,Gavin,Newlands,Scottish National Party,Paisley and Renfrewshire North,http://data.parliament.uk/members/4420,0
25885,Charlotte,Nichols,Labour,Warrington North,http://data.parliament.uk/members/4799,14
25865,Lia,Nici,Conservative,Great Grimsby,http://data.parliament.uk/members/4851,21
25281,John,Nicolson,Scottish National Party,Ochil and South Perthshire,http://data.parliament.uk/members/4415,0
24809,Caroline,Nokes,Conservative,Romsey and Southampton North,http://data.parliament.uk/members/4048,26
24827,Jesse,Norman,Conservative,Hereford and South Herefordshire,http://data.parliament.uk/members/3991,21
25687,Alex,Norris,Labour,Nottingham North,http://data.parliament.uk/members/4641,13
25679,Neil,O'Brien,Conservative,Harborough,http://data.parliament.uk/members/4679,21
25370,Brendan,O'Hara,Scottish National Party,Argyll and Bute,http://data.parliament.uk/members/4371,0
24955,Matthew,Offord,Conservative,Hendon,http://data.parliament.uk/members/4006,25
25596,Sarah,Olney,Liberal Democrat,Richmond Park,http://data.parliament.uk/members/4591,3
